"rho1","rho2","rho3","loglik2.5","loglik50","loglik97.5","rho0_2.5","rho0_50","rho0_97.5","rho1_2.5","rho1_50","rho1_97.5","rho2_2.5","rho2_50","rho2_97.5","rho3_2.5","rho3_50","rho3_97.5","rhomax_2.5","rhomax_50","rhomax_97.5"
0.5,0,0.05,NA,NA,NA,-0.158821265225986,0.0456032596661461,0.238887755032746,0.320112757341168,0.414557448581016,0.530781029424176,-0.284283632886173,-0.0196761880207833,0.216401927525255,-0.0404258713410376,0.0619207273047929,0.165236405302279,1.39826667101477,1.6321024592251,1.93524282328498
0.4,-0.25,0.05,NA,NA,NA,-0.14139954896231,0.047453289094107,0.240752688832469,0.295161947773707,0.393367935421958,0.502215779893122,-0.504954195974608,-0.169674456958222,0.135599377768635,-0.119490933524866,0.0182261390583932,0.149619641003995,1.40534996820741,1.65478403684667,1.96439757853851
0.4,-0.25,-0.1,NA,NA,NA,-0.172931774437367,0.0144028996873779,0.215020359082158,0.264177037573255,0.364511549467921,0.477057249218436,-0.197726611505933,0.0800746944943422,0.289000337597065,-0.0949278588250698,0.00831373371704152,0.089693076734243,1.52387289911254,1.8077503936967,2.18748448504469
0,0.25,0.05,NA,NA,NA,-0.169103132605951,0.0247055639185138,0.220572699832292,-0.0603619212374775,0.0167891288865332,0.0966666687643139,-0.212883394357419,0.0616830728290675,0.317963638486886,-0.0346115810438769,0.0499053528774148,0.136273914120335,1.3871558215355,1.62182587362261,1.90297039820505
0,-0.25,-0.05,NA,NA,NA,-0.170560796997614,0.0237263775945214,0.214262019017849,-0.0681798182484998,0.0342003482275427,0.134797648270477,-0.556916251324105,-0.187322433035507,0.220546611175344,-0.145684264006127,-0.0344335254395133,0.0821220528385175,1.36224794852401,1.64445117990815,2.01147361877259
0.2,-0.5,0.05,NA,NA,NA,-0.168398694748731,0.0280756079963467,0.222336463042718,0.0697359316855749,0.151435946711999,0.2372814438067,-0.688111529283224,-0.319513441782117,-0.00349850380468516,-0.057819959572327,0.051725567278024,0.151956979823202,1.53302900057067,1.7991474582917,2.14850744357356
0,-0.5,0,NA,NA,NA,-0.173482135618914,0.0263257712380976,0.224102453560588,-0.0625819658408341,0.0167456889851651,0.101897016544544,-0.841640509092248,-0.440194980769401,-0.0143340451100025,-0.199511055062934,-0.0878055778928676,0.026751231249471,1.36576617577921,1.61367651761772,1.90606902946575
0.5,0,-0.05,NA,NA,NA,-0.173594707859782,0.00751827923330365,0.201725299194666,0.303092501342482,0.393760185484064,0.494456545721953,-0.216278090765364,0.0278003713025586,0.294090417837515,-0.231291673849236,-0.135549731994557,-0.0423778568981155,1.56113559401878,1.84284846141237,2.18164557159644
0.3,-0.5,0.05,NA,NA,NA,-0.174319557867301,0.0277922342852605,0.228340472698728,0.211442715071106,0.299437960003195,0.404122451186876,-0.70108299674461,-0.228271917491198,0.186695776977822,-0.0687216374985725,0.0957137801313909,0.2458182348908,1.229693742514,1.44338896959533,1.70015601678971
0.5,-0.25,-0.1,NA,NA,NA,-0.135407171681589,0.0493579064563939,0.241664367910324,0.300767587654691,0.401997688078461,0.515919824635347,-0.295009329036277,-0.0130466202848709,0.241067401596385,-0.224138039170157,-0.0969483511603095,0.0197569595657069,1.28990811930431,1.52090881463463,1.7951961227377
