Plants_Common_Name,Plants_Latin_Name,Plants_Family,Plants_category,Moisture_percent,Ash_percent,Fibres_Total_g100g,Lipids_Total_g100g,Proteins_Total_g100g,Carbohydrates_Total_g100g,Sugar_Total_g100g,Energy_kcal100g,Mg_Mineral_mgKg,Zn_Mineral_mgKg,Fe_Mineral_mgKg,Ca_Mineral_mgKg,P_Mineral_mgKg,Mn_Mineral_mgKg,K_Mineral_mgKg,Na_Mineral_mgKg,Cu_Mineral_mgKg,Pb_HeavyMetal_mgKg,Se_HeavyMetal_mgKg,Cr_HeavyMetal_mgKg,S_HeavyMetal_mgKg,VitaminC_ascorbicacid_ugg,VitaminA_Retinol_ugg,VitaminB1_thiamine_ugg,VitaminB2_riboflavin_ugg,VitaminB3_nicotinicacid_ugg,VitaminB3_nicotinamide_ugg,VitaminB3_total_niacin_ugg,VitaminB5_pantothenicacid_ugg,VitaminB6_pyridoxine_ugg,VitaminB8_biotin_ugg,VitaminB9_folicacid_ugg,VitaminB12_cobalamin_ugg,VitaminE_tocopherol_ugg,Palmitic_16:0_percent,Palmitoleic_16:1_percent,Oleic_18:1_percent,Omega6_Linoleic_18:2_percent,Omega-3_α-linolenicacid_18:3_percent,Omega-6_γ-Linolenic_18:3_percent,Stearic_18:0_percent,Butyricacid_4:0_percent,Hexanoicacid_6:0_percent,Caprylicacid_8:0_percent,Capricacid_10:0_percent,Undecanoicacid_11:0_percent,Lauricacid_12:0_percent,Myristicacid_14:0_percent,Pentadecanoicacid_15:0_percent,Heptadecanoicacid_17:0_percent,Heptadecenoicacid_17:1_percent,Arachidic_20:0_percent,Omega9_Heneicosenoicacid_21:1_percent,Tricosanoicacid_23:0_percent,Behenic_22:0_percent,Lignocericacid_24:0_percent,Trans-omega9_Elaidicacid_18:1_percent,Omega9_Eicosenoicacid_20:1_percent,Cis-omega12_Petroselinicacid_18:1_percent,Omega9_11-Eicosenoicacid_20:9_percent,Omega9_Erucicacid_22:1_percent,Omega9_Nervonicacid_24:1_percent,Omega3_Docosahexaenoicacid_22:6_percent,Omega6_Linolelaidicacid_18:2trans_percent,Omega6_Eicosadienoicacid_20:2_percent,Omega6_Dihomo-y-linolenicacid_20:3_percent,Omega6_Eicosatrienoicacid_20:3_percent,Omega6_Arachidonicacid_20:4_percent,Omega3_Eicosapentaenoicacid_20:5_percent,TSFA_gKg,TMFAs_gKg,PUFAs_gKg,TUSFA_g/Kg,TUSFA/SFA,EAA_Arginine_mgg,EAA_Histidine_mgg,EAA_Isoleucine_mgg,EAA_Leucine_mgg,EAA_Lysine_mgg,EAA_Methionine_mgg,EAA_Phenylalanine_mgg,EAA_Threonine_mgg,EAA_Tryptophan_mgg,EAA_Valine_mgg,Total_AAs_mgg,Total_NEAAs_mgg,Total_EAAs_mgg,TEAA/TAA,Author,,
Hooker's balsamroot ,Balsamorhiza hookeri,Asteraceae,Wildflowers,NA,NA,NA,8.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Arrowleaf balsamroot ,Balsamorhiza sagittata,Asteraceae,Wildflowers,NA,NA,NA,9.7,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Rough eyelash ,Blepharipappus scaber,Asteraceae,Wildflowers,NA,NA,NA,9.8,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Calendula,Calendula officinalis,Asteraceae,Wildflowers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abundant,Present,Lacking,Abundant,Abundant,Present,Abundant,Present,Lacking,Present,NA,NA,High,NA,Bakó et al. 2002; Abasova 1994; Corbet et al. 2001; Olennikov & Kashehenko 2014,,
Bruneau mariposa lily ,Calochortus bruneaunis,Liliaceae,Wildflowers,NA,NA,NA,3.8,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Leichtlin's mariposa ,Calochortus leichtlinii,Liliaceae,Wildflowers,NA,NA,NA,4.0,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Mount Hood pussypaws ,Calyptridium umbellatum,Montiaceae,Wildflowers,NA,NA,NA,2.3,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Globe-podded hoary cress ,Cardaria pubescens,Brassicaceae,Wildflowers,NA,NA,NA,6.1,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Musk thistle ,Carduus nutans,Asteraceae,Wildflowers,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,5.0,5.7,7.8,8.4,3.1,4.7,5.2,NA,6.6,NA,NA,NA,NA,Somerville 2006,,
Italian thistle ,Carduus pycnocephalus,Asteraceae,Wildflowers,NA,NA,NA,NA,NA,NA,NA,NA,969 ± 19,34 ± 6,47 ± 2 ,3313 ± 131 ,3195 ± 69 ,17 ± 2 ,4108 ± 94 ,274 ± 14 ,12 ± 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Saffron thistle ,Carthamus lanatus,Asteraceae,Wildflowers,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,7.3,8.3,11.4,11.1,4.2,6.9,6.6,NA,4.2,NA,NA,NA,NA,Somerville 2006,,
Thick stem wild cabbage ,Caulanthus crassicaulis,Brassicaceae,Wildflowers,NA,NA,NA,7.5,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Black knapweed ,Centaurea nigra,Asteraceae,Wildflowers,NA,NA,NA,NA,27.5 ± 1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Greater knapweed ,Centaurea scabiosa,Asteraceae,Wildflowers,NA,NA,NA,NA,24.2 ± 1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Yellow star-thistle ,Centaurea solstitialis,Asteraceae,Wildflowers,NA,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.8,8.3,12.7,11.6,3.9,7.2,7.7,NA,9.0,NA,NA,NA,NA,Somerville 2006,,
Knapweeds,Centaurea spp,Asteraceae,Wildflowers,NA,NA,NA,NA,NA,NA,NA,NA,669 ± 31,41 ± 4,94 ± 6 ,3355 ± 116 ,3160 ± 100 ,22 ± 3 ,3522 ± 120 ,258 ± 24 ,12 ± 4 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Douglas' dustymaiden ,Chaenactis douglasii,Asteraceae,Wildflowers,NA,NA,NA,6.7,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Fireweed ,Chamaenerion angustifolium,Onagraceae,Wildflowers,NA,2.81,NA,5.2,15.1-22.0,NA,"G: 8.5, F: 20.6",NA,980,NA,NA,1222,3400,14,10400,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,6.7,8.1,13.6,10.9,4.4,8.3,9.2,NA,9.8,NA,NA,NA,NA,McLellan 1977; Hanley et al. 2008; Vaudo et al. 2024,,
Gum succory ,Chondrilla juncea,Asteraceae,Wildflowers,NA,NA,NA,NA,22.2-23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,6.2,12.0,17.1,12.3,6.3,10.8,9.2,NA,14.2,NA,NA,NA,NA,Somerville 2006,,
Anderson's thistle ,Cirsium andersonii,Asteraceae,Wildflowers,NA,NA,NA,6.3,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Creeping thistle ,Cirsium arvense,Asteraceae,Wildflowers,NA,NA,NA,NA,21.9 ± 0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Cobweb thistle ,Cirsium occidentale,Asteraceae,Wildflowers,NA,NA,NA,18.9,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Spear thistle ,Cirsium vulgare,Asteraceae,Wildflowers,NA,NA,NA,NA,16.1-22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6-6.7,4.5-5.0,6.6-7.3,8.9-10.5,10.7-11.2,3.6-3.7,5.1-6.3,5.2-6.7,NA,3.6,NA,NA,NA,NA,Somerville 2006; Hanley et al. 2008,,
Cistus ladanifer,Cistus ladanifer,Cistaceae,Wildflowers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26 ± 0.26,3.78 ± 0.30,8.57 ± 0.34,8.51 ± 0.52,9.88 ± 0.23,3.69 ± 0.12,8.80 ± 0.09,4.21 ± 0.23,0,5.54 ± 0.11,143.3 ± 0.62,NA,NA,NA,Gonzalez Paramas et al. 2006,,
Sage-leaved rock-rose,Cistus salvifolius,Cistaceae,Wildflowers,NA,NA,NA,NA,NA,NA,NA,NA,660 ± 14,43 ± 4,97 ± 8 ,1693 ± 17 ,2962 ± 66 ,33 ± 3 ,5804 ± 123 ,245 ± 9 ,7 ± 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Rockrose,Cistus spp,Cistaceae,Wildflowers,NA,NA,1.2-1.5,4.0-5.2,21.1-24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3 ± 0.3,3.8 ± 0.3,8.6 ± 0.3,8.5 ± 0.5,9.9 ± 0.2,3.7 ± 0.1,8.8 ± 0.1,4.2 ± 0.2,0,5.5 ± 0.1,331.3 ± 0.1,NA,NA,NA,"Anjos et al. 2019, Gonzalez Paramas et al. 2006",,
Poison hemlock ,Conium maculatum,Apiaceae,Wildflowers,NA,NA,NA,2.8,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Field bindweed,Convolvulus arvensis,Convolvulaceae,Wildflowers,NA,NA,NA,NA,NA,NA,NA,NA,1030 ± 15,51 ± 2,150 ± 6 ,1960 ± 55 ,3779 ± 106 ,50 ± 3 ,4357 ± 116 ,264 ± 11 ,4 ± 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Field bindweed ,Convolvulus arvensis,Convolvulaceae,Wildflowers,NA,NA,NA,4.9,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Limestone hawksbeard ,Crepis intermedia,Asteraceae,Wildflowers,NA,NA,NA,18.9,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Modoc hawksbeard ,Crepis modocensis,Asteraceae,Wildflowers,NA,NA,NA,14.8,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Western hawksbeard ,Crepis occidentalis,Asteraceae,Wildflowers,NA,NA,NA,18.1,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purvis et al. 2021; Vaudo et al. 2024,,
Brooms,Cytisus spp,Fabaceae,Wildflowers,NA,NA,3.9-4.1,4.1-5.9,18.0-22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anjos et al. 2019,,
Golden hardhack ,Dasiphora fruticosa,Rosaceae,Wildflowers,NA,NA,NA,3.5,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Chrysanthemum,Dendranthema indicum,Asteraceae,Wildflowers,7.5 ± 0.4,1.7 ± 0.6,2.172 ± 0.175,4.0 ± 0.2,14.9 ± 0.4,77.8 ± 0.4,NA,406 ± 6,321 ± 1,28.25 ± 0.1,129.6 ± 0.2,2618 ± 3,2136 ± 2,NA,2353 ± 24,NA,21.43 ± 0.1,1.06 ± 0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14 ± 0.25,0.88 ± 0.01,34.8 ± 1.21,24.38 ± 0.27,4.11 ± 0.26,NA,8.52 ± 0.55,NA,NA,1.03 ± 0.11,14.98 ± 0.76,NA,0.29 ± 0.04,NA,NA,NA,NA,0.59 ± 0.03,NA,NA,5.29 ± 0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3 ± 0.4,5.5 ± 0.3,6.0 ± 0.2,8.9 ± 0.7,8.6 ± 0.3,2.9,5.3 ± 0.2,4.5 ± 0.2,11.7 ± 0.8,7.3 ± 0.4,140.5 ± 12.3,85.3 ± 1.7,55.2 ± 2.2,39.3,Yang et al. 2013,,
Lady's glove,Digitalis purpurea,Plantaginaceae,Wildflowers,NA,NA,NA,NA,20.9 ±  0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Woodbeauty ,Drymocallis lactea,Rosaceae,Wildflowers,NA,NA,NA,3.8,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
